"CAS","DTXSID","name","mw","log.kow","water.sol.mg.l","half.air.hr","half.sediment.hr","vp.pa","kp","fabs"
"14870-41-8","DTXSID70164067","11H-Dibenzo(b,e)(1,4)diazepin-11-one, 5,10-dihydro-5-(2-(diethylamino)ethyl)-",309.413,3.93025,7.9628673202,0.841,13000,1.3271164013141e-07,0.0115086587644299,0.999650302469261
"148727-67-7","DTXSID70874679","4A(4H)-PHENANTHRENAMINE, 1,9,10,10A-TETRAHYDRO-9",213.324,3.41012,67.214765892,0.918,8100,0.00011640057897164,0.0230058231522813,0.999710724516537
"14876-25-6","DTXSID60164096","2-(4-Amino-N-ethyl-m-toluidino)ethanol nitrate",257.29,1.74659,6615.723499,1.2,8100,0.005164216112172,0.000959493239433315,0.999381774954157
"1488-42-2","DTXSID2061725","Iodonium, (2-carboxyphenyl)phenyl-, inner salt",324.117,3.32257,17.3845987056,113,8100,0.001399551789025,0.0058088327715089,0.99971416347465
"14884-01-6","DTXSID50415948","4-methoxy-1H-pyrazole",98.105,0.324412,391372.2386,1.28,3240,9.502793327552,0.000807023444763242,0.990193058765644
"14884-03-8","DTXSID40878821","4-ISOPROPOXYPYRAZOLE",126.159,1.09276,91837.570209,1.21,3240,6.134976430479,0.00242718540361809,0.998105315261941
"14885-29-1","DTXSID7046839","Ipronidazole",169.184,1.19335,2003.8322144,41.4,8100,0.3076880777615,0.00139811353568185,0.998444261888503
"14886-22-7","DTXSID10933491","1-(3,3,5-Trimethylcyclohexyl)ethan-1-one",168.28,4.09427,172.6906188,15.9,8100,43.75960813536,0.0463275315278206,0.999607708049782
"14888-58-5","DTXSID10933496","3,3a,4,6,7,7a-Hexahydro-5H-4,7-methanoinden-5-one",148.205,2.52638,1940.7592955,0.996,3240,60.87793636658,0.0249164490938433,0.999682854098076
"1489-53-8","DTXSID90164125","Benzene, 1,2,3-trifluoro-",132.085,2.93741,735.47437615,249,38900,7002.011929366,0.0502299757437027,0.999714046546285
"1489-56-1","DTXSID70892095","1-Methyl-1,3-cyclohexadiene",94.157,2.87245,296.22357142,0.228,3240,4306.833154321,0.0932633089042298,0.999711587065528
"1489-57-2","DTXSID7061726","1,3-Cyclohexadiene, 2-methyl-",94.157,2.93619,148.4385105,0.228,3240,4306.833154321,0.0983385910324885,0.999714007341315
"14892-14-9","DTXSID20164138","(Pentafluorophenoxy)acetic acid",242.101,3.11443,1401.39437547,42.1,38900,0.4682042356498,0.0129519839317398,0.999717084952527
"14896-01-6","DTXSID80878562","N7-PHENYL-MITOMYCIN C",410.43,0.507466,5550.203847,2.24,38900,1.2084514748707e-08,1.73078507090748e-05,0.99345837318452
"14897-78-0","DTXSID10164147","Dihydrosinapic acid",226.228,1.70809,5219.9622492,1.26,3240,1.333263896717e-05,0.0015203070823283,0.999348027338395
"14899-08-2","DTXSID2047981","Rhodamine B parent",443.566,3.16159,2.32704925618,0.0432,13000,7.313746341664e-08,0.000737020827280394,0.999717038513844
"14899-09-3","DTXSID1052747","Xanthylium, 3,6-bis(diethylamino)-9-[2-(ethoxycarbonyl)phenyl]",471.62,5.71215,0.06906356118,0.0432,13000,5.140124756299e-08,0.00618823856476116,0.994061525796132
"149-16-6","DTXSID3045300","Butacaine",306.45,2.88461,21.12035013,1.81,3240,1.714605928834e-06,0.00389200221688056,0.999712106233633
"149-26-8","DTXSID3041297","2-(2,4-Dichlorophenoxy)ethyl hydrogen sulfate",287.11,1.3582,190657.69238,26.2,13000,0.000241300193661,0.000255215925978513,0.998855285635938
"149-29-1","DTXSID2021101","Patulin",154.121,0.262111,359297.66367,0.561,3240,0.002577281785568,0.000275142296582532,0.988735548334936
"149-30-4","DTXSID1020807","2-Mercaptobenzothiazole",167.24,2.80978,77.31455028,6.32,3240,0.004859254477286,0.0261127715062595,0.999708459257875
"149-30-4","DTXSID1020807","2-Mercaptobenzothiazole",167.24,2.80978,77.31455028,6.32,3240,0.004859254477286,0.0261127715062595,0.999708459257875
"149-31-5","DTXSID6044149","2-Methyl-1,3-pentanediol",118.176,0.934891,399986.76192,13.5,1870,1.98490374232,0.00199993811442434,0.997387386143232
"149-32-6","DTXSID6043919","Erythritol",122.12,-2.10125,385933.3936,8.81,1870,3.539162832701e-06,7.46685372830086e-05,0.279949280625252
"149-39-3","DTXSID6059736","Ethanesulfonic acid, 2-[methyl(1-oxooctadecyl)amino]-, sodium salt",427.62,6.17112,303.80220138,5.53,8100,3.602477635712e-06,0.00774889485560546,0.9835613367996
"149-44-0","DTXSID7027120","Sodium hydroxymethanesulfinate",118.08,-0.929685,405719.3376,10,3240,0.0001956786050269,0.00010533682850718,0.852148771210789
"149-45-1","DTXSID7043950","Tiron",314.19,-0.570806,478071.504,193,3240,1.0563439601197e-06,2.15818443694454e-05,0.929303070687743
"149-46-2","DTXSID6043963","4,5-Dihydroxybenzene-1,3-disulfonic acid",270.23,-0.570806,411181.968,160,3240,1.0563439601197e-06,2.84112524066468e-05,0.929303070687743
